ptype	year	petitions
settlement	1690	4
settlement	1691	12
settlement	1692	12
settlement	1693	12
settlement	1694	30
settlement	1695	10
settlement	1696	7
settlement	1697	31
settlement	1698	27
settlement	1699	51
settlement	1700	23
settlement	1701	9
settlement	1702	5
settlement	1703	20
settlement	1704	3
settlement	1706	24
settlement	1707	24
settlement	1708	36
settlement	1709	30
settlement	1710	33
settlement	1711	50
settlement	1712	17
settlement	1713	32
settlement	1714	48
settlement	1715	69
settlement	1716	57
settlement	1717	94
settlement	1718	25
settlement	1719	58
settlement	1720	45
settlement	1721	34
settlement	1722	77
settlement	1723	68
settlement	1724	57
settlement	1725	53
settlement	1726	51
settlement	1727	61
settlement	1728	10
settlement	1729	2
settlement	1730	41
settlement	1731	50
settlement	1732	68
settlement	1733	87
settlement	1734	70
settlement	1735	53
settlement	1736	72
settlement	1737	79
settlement	1738	21
settlement	1739	22
settlement	1740	19
settlement	1741	21
settlement	1742	15
settlement	1743	22
settlement	1744	13
settlement	1745	17
settlement	1746	14
settlement	1747	54
settlement	1748	64
settlement	1749	41
settlement	1750	19
settlement	1751	76
settlement	1752	14
settlement	1753	22
settlement	1754	51
settlement	1755	27
settlement	1756	14
settlement	1757	22
settlement	1758	45
settlement	1759	14
settlement	1760	37
settlement	1761	6
settlement	1762	68
settlement	1763	40
settlement	1764	32
settlement	1765	33
settlement	1766	18
settlement	1767	64
settlement	1768	63
settlement	1769	33
settlement	1770	53
settlement	1771	26
settlement	1772	15
settlement	1773	39
settlement	1774	107
settlement	1775	38
settlement	1776	19
settlement	1777	42
settlement	1778	37
settlement	1779	78
settlement	1780	59
settlement	1781	30
settlement	1782	31
settlement	1783	74
settlement	1784	105
settlement	1785	117
settlement	1786	70
settlement	1787	12
settlement	1788	12
settlement	1789	45
settlement	1791	65
settlement	1793	84
settlement	1794	83
settlement	1795	61
settlement	1796	78
settlement	1797	68
settlement	1798	73
settlement	1799	62