year	petitions
1690	70
1691	164
1692	61
1693	18
1694	64
1695	39
1696	100
1697	138
1698	97
1699	184
1700	34
1701	36
1702	44
1703	94
1704	6
1705	11
1706	145
1707	157
1708	201
1709	114
1710	54
1711	131
1712	36
1713	103
1714	164
1715	277
1716	263
1717	251
1718	108
1719	143
1720	172
1721	78
1722	195
1723	148
1724	116
1725	146
1726	124
1727	127
1728	25
1729	18
1730	136
1731	101
1732	163
1733	226
1734	147
1735	119
1736	151
1737	136
1738	46
1739	33
1740	25
1741	27
1742	18
1743	28
1744	23
1745	31
1746	32
1747	109
1748	105
1749	81
1750	49
1751	166
1752	25
1753	57
1754	122
1755	62
1756	34
1757	53
1758	97
1759	18
1760	71
1761	30
1762	101
1763	83
1764	55
1765	43
1766	34
1767	89
1768	95
1769	65
1770	99
1771	42
1772	38
1773	78
1774	164
1775	72
1776	27
1777	71
1778	70
1779	92
1780	75
1781	68
1782	47
1783	105
1784	141
1785	144
1786	103
1787	31
1788	19
1789	72
1790	4
1791	126
1792	2
1793	136
1794	107
1795	96
1796	133
1797	98
1798	133
1799	110