dtype	year	pages
petitions	1690	70
petitions	1691	164
petitions	1692	61
petitions	1693	18
petitions	1694	65
petitions	1695	39
petitions	1696	100
petitions	1697	140
petitions	1698	97
petitions	1699	186
petitions	1700	34
petitions	1701	37
petitions	1702	44
petitions	1703	94
petitions	1704	6
petitions	1705	15
petitions	1706	147
petitions	1707	159
petitions	1708	201
petitions	1709	114
petitions	1710	54
petitions	1711	132
petitions	1712	36
petitions	1713	104
petitions	1714	165
petitions	1715	283
petitions	1716	265
petitions	1717	251
petitions	1718	111
petitions	1719	143
petitions	1720	175
petitions	1721	78
petitions	1722	198
petitions	1723	149
petitions	1724	117
petitions	1725	146
petitions	1726	126
petitions	1727	128
petitions	1728	25
petitions	1729	19
petitions	1730	142
petitions	1731	103
petitions	1732	166
petitions	1733	238
petitions	1734	152
petitions	1735	121
petitions	1736	151
petitions	1737	142
petitions	1738	49
petitions	1739	33
petitions	1740	26
petitions	1741	28
petitions	1742	18
petitions	1743	28
petitions	1744	25
petitions	1745	32
petitions	1746	33
petitions	1747	110
petitions	1748	107
petitions	1749	84
petitions	1750	55
petitions	1751	174
petitions	1752	25
petitions	1753	61
petitions	1754	139
petitions	1755	68
petitions	1756	37
petitions	1757	53
petitions	1758	103
petitions	1759	19
petitions	1760	82
petitions	1761	29
petitions	1762	110
petitions	1763	90
petitions	1764	57
petitions	1765	48
petitions	1766	33
petitions	1767	98
petitions	1768	103
petitions	1769	79
petitions	1770	124
petitions	1771	46
petitions	1772	50
petitions	1773	87
petitions	1774	179
petitions	1775	84
petitions	1776	28
petitions	1777	82
petitions	1778	78
petitions	1779	102
petitions	1780	81
petitions	1781	87
petitions	1782	59
petitions	1783	120
petitions	1784	156
petitions	1785	162
petitions	1786	120
petitions	1787	39
petitions	1788	25
petitions	1789	91
petitions	1790	4
petitions	1791	167
petitions	1792	2
petitions	1793	179
petitions	1794	127
petitions	1795	113
petitions	1796	178
petitions	1797	128
petitions	1798	159
petitions	1799	149
other	1690	402
other	1691	543
other	1692	447
other	1693	221
other	1694	447
other	1695	629
other	1696	385
other	1697	499
other	1698	723
other	1699	783
other	1700	150
other	1701	215
other	1702	121
other	1703	212
other	1704	37
other	1705	53
other	1706	325
other	1707	369
other	1708	473
other	1709	471
other	1710	135
other	1711	331
other	1712	128
other	1713	284
other	1714	343
other	1715	619
other	1716	615
other	1717	641
other	1718	411
other	1719	450
other	1720	617
other	1721	307
other	1722	681
other	1723	607
other	1724	454
other	1725	558
other	1726	505
other	1727	766
other	1728	136
other	1729	175
other	1730	493
other	1731	463
other	1732	631
other	1733	826
other	1734	586
other	1735	569
other	1736	648
other	1737	614
other	1738	247
other	1739	97
other	1740	88
other	1741	117
other	1742	170
other	1743	129
other	1744	253
other	1745	167
other	1746	164
other	1747	577
other	1748	925
other	1749	664
other	1750	436
other	1751	862
other	1752	166
other	1753	344
other	1754	841
other	1755	539
other	1756	267
other	1757	251
other	1758	759
other	1759	99
other	1760	1098
other	1761	757
other	1762	1036
other	1763	949
other	1764	501
other	1765	458
other	1766	392
other	1767	1173
other	1768	802
other	1769	948
other	1770	741
other	1771	691
other	1772	1056
other	1773	1164
other	1774	1382
other	1775	1224
other	1776	542
other	1777	632
other	1778	1642
other	1779	1129
other	1780	908
other	1781	1004
other	1782	1152
other	1783	1272
other	1784	1552
other	1785	1277
other	1786	1559
other	1787	1166
other	1788	508
other	1789	1124
other	1790	758
other	1791	1087
other	1792	506
other	1793	1600
other	1794	1284
other	1795	1718
other	1796	603
other	1797	377
other	1798	1799
other	1799	1506