year	court	petitions
1690	Middlesex	66
1690	City	4
1691	Middlesex	151
1691	City	4
1691	Westminster	9
1692	Middlesex	52
1692	City	5
1692	Westminster	4
1693	Middlesex	1
1693	City	12
1693	Westminster	5
1694	Middlesex	41
1694	City	22
1694	Westminster	1
1695	Middlesex	22
1695	City	14
1695	Westminster	3
1696	Middlesex	61
1696	City	39
1697	Middlesex	109
1697	City	29
1698	Middlesex	78
1698	City	19
1699	Middlesex	140
1699	City	44
1700	Middlesex	1
1700	City	33
1701	Middlesex	31
1701	City	5
1702	Middlesex	43
1702	City	1
1703	Middlesex	59
1703	City	35
1704	City	6
1705	City	11
1706	Middlesex	120
1706	City	25
1707	Middlesex	119
1707	City	21
1707	Westminster	17
1708	Middlesex	178
1708	City	23
1709	Middlesex	91
1709	City	23
1710	Middlesex	15
1710	City	39
1711	Middlesex	99
1711	City	31
1711	Westminster	1
1712	Middlesex	13
1712	City	23
1713	Middlesex	75
1713	City	28
1714	Middlesex	135
1714	City	25
1714	Westminster	4
1715	Middlesex	225
1715	City	47
1715	Westminster	5
1716	Middlesex	229
1716	City	29
1716	Westminster	5
1717	Middlesex	207
1717	City	37
1717	Westminster	7
1718	Middlesex	80
1718	City	21
1718	Westminster	7
1719	Middlesex	99
1719	City	31
1719	Westminster	13
1720	Middlesex	128
1720	City	42
1720	Westminster	2
1721	Middlesex	35
1721	City	38
1721	Westminster	5
1722	Middlesex	159
1722	City	36
1723	Middlesex	114
1723	City	33
1723	Westminster	1
1724	Middlesex	80
1724	City	32
1724	Westminster	4
1725	Middlesex	115
1725	City	21
1725	Westminster	10
1726	Middlesex	106
1726	City	17
1726	Westminster	1
1727	Middlesex	127
1728	Middlesex	23
1728	Westminster	2
1729	Middlesex	14
1729	City	3
1729	Westminster	1
1730	Middlesex	104
1730	City	30
1730	Westminster	2
1731	Middlesex	55
1731	City	31
1731	Westminster	15
1732	Middlesex	126
1732	City	32
1732	Westminster	5
1733	Middlesex	179
1733	City	37
1733	Westminster	10
1734	Middlesex	119
1734	City	27
1734	Westminster	1
1735	Middlesex	81
1735	City	32
1735	Westminster	6
1736	Middlesex	117
1736	City	30
1736	Westminster	4
1737	Middlesex	97
1737	City	32
1737	Westminster	7
1738	Middlesex	18
1738	City	18
1738	Westminster	10
1739	City	31
1739	Westminster	2
1740	City	21
1740	Westminster	4
1741	City	23
1741	Westminster	4
1742	City	17
1742	Westminster	1
1743	City	25
1743	Westminster	3
1744	City	21
1744	Westminster	2
1745	City	25
1745	Westminster	6
1746	Middlesex	7
1746	City	18
1746	Westminster	7
1747	Middlesex	88
1747	City	17
1747	Westminster	4
1748	Middlesex	79
1748	City	21
1748	Westminster	5
1749	Middlesex	64
1749	City	12
1749	Westminster	5
1750	Middlesex	40
1750	City	9
1751	Middlesex	120
1751	City	44
1751	Westminster	2
1752	City	25
1753	Middlesex	24
1753	City	26
1753	Westminster	7
1754	Middlesex	106
1754	City	16
1755	Middlesex	30
1755	City	28
1755	Westminster	4
1756	Middlesex	1
1756	City	29
1756	Westminster	3
1756	OldBailey	1
1757	Middlesex	12
1757	City	36
1757	Westminster	5
1758	Middlesex	73
1758	City	24
1759	City	18
1760	Middlesex	64
1760	City	7
1761	Middlesex	24
1761	City	5
1761	OldBailey	1
1762	Middlesex	84
1762	City	16
1762	Westminster	1
1763	Middlesex	63
1763	City	20
1764	Middlesex	32
1764	City	20
1764	OldBailey	3
1765	Middlesex	27
1765	City	15
1765	OldBailey	1
1766	Middlesex	15
1766	City	17
1766	OldBailey	2
1767	Middlesex	65
1767	City	24
1768	Middlesex	69
1768	City	24
1768	OldBailey	2
1769	Middlesex	48
1769	City	14
1769	OldBailey	3
1770	Middlesex	65
1770	City	15
1770	Westminster	17
1770	OldBailey	2
1771	Middlesex	22
1771	City	19
1771	OldBailey	1
1772	Middlesex	13
1772	City	20
1772	Westminster	5
1773	Middlesex	40
1773	City	35
1773	OldBailey	3
1774	Middlesex	105
1774	City	58
1774	OldBailey	1
1775	Middlesex	40
1775	City	32
1776	Middlesex	4
1776	City	23
1777	Middlesex	33
1777	City	38
1778	Middlesex	55
1778	City	15
1779	Middlesex	79
1779	City	13
1780	Middlesex	60
1780	City	15
1781	Middlesex	41
1781	City	27
1782	Middlesex	12
1782	City	35
1783	Middlesex	71
1783	City	34
1784	Middlesex	117
1784	City	24
1785	Middlesex	137
1785	City	7
1786	Middlesex	84
1786	City	19
1787	Middlesex	29
1787	City	2
1788	Middlesex	8
1788	City	11
1789	Middlesex	71
1789	OldBailey	1
1790	Middlesex	4
1791	Middlesex	126
1792	Middlesex	2
1793	Middlesex	136
1794	Middlesex	106
1794	Westminster	1
1795	Middlesex	96
1796	Middlesex	133
1797	Middlesex	98
1798	Middlesex	130
1798	Westminster	3
1799	Middlesex	109
1799	Westminster	1